,useridentifier,headers.x-session-id,id,event,timestamp,feed
2185,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC51azNxbjZrZ251,/fn/nop,screen_view_cp,2021-05-20 08:30:51.439,"{'screen_name': 'cp', 'filters': ''}"
2594,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,a0xINMFcrQ82xxwoC3BSHGOeRxEQO2qLFnToPjKGlJQ=,/fn/nop,screen_view_dp,2021-05-20 11:30:20.416,"{'screen_name': 'dp', 'filters': 'pid~ROSE-GOLD-META-ZIP-COIN-CRDWLT'}"
2652,60a5daf60da2c6793191eac5,MC4wZnI4dTg0NDZ1cQ==,/fn/nop,view_item,2021-05-20 14:30:17.928,"{'currency': 'INR', 'value': 999, 'items': [[{'key': 'item_id', 'value': 'PLN-GLAS-SMO-GRA-DOB-SS-GLS20FE', 'type': 'STRING'}, {'key': 'item_name', 'value': 'Smoke Gradient Glass Case Cover For Samsung Galaxy S20 FE', 'type': 'STRING'}, {'key': 'item_category', 'value': '1101', 'type': 'STRING'}, {'key': 'price', 'value': 999, 'type': 'DOUBLE'}, {'key': 'quantity', 'value': 1, 'type': 'INTEGER'}]]}"
2973,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC51azNxbjZrZ251,/samsung/galaxy-a8-2016-cases/lp,,2021-05-20 08:30:52.522,
3123,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC4xamwwMGMxZW81MQ==,/gp,,2021-05-20 07:30:36.500,
3168,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC40ZWRzb2pmNTI2cw==,/designer-cases/samsung/galaxy-a8-2018,,2021-05-20 08:30:54.449,
3228,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5kd3Y5b24yMHZmaw==,/fn/nop,screen_view_rfp,2021-05-20 04:33:39.384,"{'screen_name': 'rfp', 'filters': 'brand~samsung,cid~1101,rf~model'}"
3405,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,a0xINMFcrQ82xxwoC3BSHGOeRxEQO2qLFnToPjKGlJQ=,/fn/nop,view_item,2021-05-20 11:30:45.940,"{'currency': 'INR', 'value': 799, 'items': [[{'key': 'item_id', 'value': 'TROP-ANGL-DOB-SKIN-FIT-CRWLT', 'type': 'STRING'}, {'key': 'item_name', 'value': 'Tropical Angles Skinny Fit Card Wallet', 'type': 'STRING'}, {'key': 'item_category', 'value': '2003', 'type': 'STRING'}, {'key': 'price', 'value': 799, 'type': 'DOUBLE'}, {'key': 'quantity', 'value': 1, 'type': 'INTEGER'}]]}"
3430,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5kd3Y5b24yMHZmaw==,/fn/,,2021-05-20 04:33:37.254,
3680,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC4xamwwMGMxZW81MQ==,/fn/nop,screen_view_hp,2021-05-20 07:30:41.823,"{'screen_name': 'hp', 'filters': ''}"
3684,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC4zMXMzNjMxOWI3dQ==,/fn/nop,screen_view_cp,2021-05-20 08:30:58.307,"{'screen_name': 'cp', 'filters': ''}"
3788,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC4xamwwMGMxZW81MQ==,/fn/nop,screen_view_hp,2021-05-20 07:30:41.823,"{'screen_name': 'hp', 'filters': ''}"
3925,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC50cnRtdW0wMjVycw==,/fn/pagination,,2021-05-20 06:31:05.006,
3928,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC50cnRtdW0wMjVycw==,/fn/nop,screen_view_hp,2021-05-20 06:31:05.270,"{'screen_name': 'hp', 'filters': 'page~1'}"
3929,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC50cnRtdW0wMjVycw==,/fn/nop,screen_view_hp,2021-05-20 06:31:05.269,"{'screen_name': 'hp', 'filters': 'page~1'}"
4133,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5kd3Y5b24yMHZmaw==,/samsung/galaxy-s21-cases/lp,,2021-05-20 04:33:36.873,
4308,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC52YnY3cG92NG1o,/fn/,,2021-05-20 08:30:29.864,
4417,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC4xamwwMGMxZW81MQ==,/fn/nop,screen_view_hp,2021-05-20 07:30:41.823,"{'screen_name': 'hp', 'filters': ''}"
4514,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,a0xINMFcrQ82xxwoC3BSHGOeRxEQO2qLFnToPjKGlJQ=,/wallets/lp,,2021-05-20 11:30:51.598,
4586,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,a0xINMFcrQ82xxwoC3BSHGOeRxEQO2qLFnToPjKGlJQ=,/fn/nop,screen_view_lp,2021-05-20 11:30:44.676,"{'screen_name': 'lp', 'filters': 'cid~2003'}"
4853,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5kd3Y5b24yMHZmaw==,/samsung-mobile-cases/rfp,,2021-05-20 04:33:24.335,
4973,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC4xamwwMGMxZW81MQ==,/fn/nop,screen_view_hp,2021-05-20 07:30:39.837,"{'screen_name': 'hp', 'filters': 'page~1'}"
4999,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC51azNxbjZrZ251,/designer-cases/samsung/galaxy-a8-2016,,2021-05-20 08:30:50.877,
5023,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC40ZWRzb2pmNTI2cw==,/samsung/galaxy-a8-2018-cases/lp,,2021-05-20 08:30:56.279,
5440,60a5daf60da2c6793191eac5,MC4wZnI4dTg0NDZ1cQ==,/fn/,,2021-05-20 14:33:15.311,
5444,60a5daf60da2c6793191eac5,MC4wZnI4dTg0NDZ1cQ==,/fn/,,2021-05-20 14:32:53.811,
5818,60a5daf60da2c6793191eac5,MC4wZnI4dTg0NDZ1cQ==,/fn/,,2021-05-20 14:33:39.358,
6069,60a5daf60da2c6793191eac5,MC4wZnI4dTg0NDZ1cQ==,/fn/,,2021-05-20 14:32:48.730,
6090,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC50d2x5Z2RiZ2NvYg==,/oneplus/oneplus-7t-cases/lp,,2021-05-20 10:31:57.724,
6644,60a5daf60da2c6793191eac5,MC4wZnI4dTg0NDZ1cQ==,/samsung/galaxy-s20-fe-cases/lp,,2021-05-20 14:32:47.952,
6807,60a5daf60da2c6793191eac5,MC4wZnI4dTg0NDZ1cQ==,/fn/nop,screen_view_dp,2021-05-20 14:32:50.836,"{'screen_name': 'dp', 'filters': 'pid~PLN-GLAS-BLU-OCE-DOB-SS-GLS20FE'}"
6945,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC50d2x5Z2RiZ2NvYg==,/samsung/galaxy-s10-cases/lp,,2021-05-20 10:31:42.885,
6962,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC50d2x5Z2RiZ2NvYg==,/fn/,,2021-05-20 10:31:44.544,
7014,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC5qNG1sdWszMDZwYQ==,/fn/,,2021-05-20 08:33:22.448,
7108,60a5daf60da2c6793191eac5,MC4wZnI4dTg0NDZ1cQ==,/fn/nop,view_item,2021-05-20 14:34:37.992,"{'currency': 'INR', 'value': 999, 'items': [[{'key': 'item_id', 'value': 'GLAS-CAMO-LINE-DOB-AP-IPH11', 'type': 'STRING'}, {'key': 'item_name', 'value': 'Camo Lines Glass Case Cover For iPhone 11', 'type': 'STRING'}, {'key': 'item_category', 'value': '1101', 'type': 'STRING'}, {'key': 'price', 'value': 999, 'type': 'DOUBLE'}, {'key': 'quantity', 'value': 1, 'type': 'INTEGER'}]]}"
7116,e8610bbf-b03e-43f7-a6d3-f9e6c6348d01,MC50d2x5Z2RiZ2NvYg==,/fn/nop,screen_view_cp,2021-05-20 10:32:10.867,"{'screen_name': 'cp', 'filters': 'cid~1800'}"
